YEAR;MONTH;DAY;DAY_OF_WEEK;AIRLINE;FLIGHT_NUMBER;SCHEDULED_DEPARTURE;DEPARTURE_TIME;DEPARTURE_DELAY;TAXI_OUT;WHEELS_OFF;SCHEDULED_TIME;ELAPSED_TIME;AIR_TIME;DIST5E;WHEELS_ON;TAXI_IN;SCHEDULED_ARRIVAL;ARRIVAL_TIME;ARRIVAL_DELAY
2015;1;1;4;10;4557;535;523;-12;12;535;61;52;33;201;608;7;636;615;-21
2015;1;1;4;10;5241;535;530;-5;18;548;88;75;54;346;742;3;803;745;-18
2015;1;1;4;10;5498;535;550;15;18;608;85;67;41;235;749;8;800;757;-3
2015;1;1;4;9;6512;535;530;-5;33;603;75;80;42;209;645;5;650;650;0
2015;1;1;4;6;1577;538;634;56;26;700;142;164;129;909;1009;9;900;1018;78
2015;1;1;4;9;4986;538;535;-3;16;551;212;199;173;1242;644;10;710;654;-16
2015;1;1;4;8;727;540;536;-4;14;550;101;84;66;369;656;4;721;700;-21
2015;1;1;4;8;1012;540;529;-11;16;545;136;114;95;867;820;3;856;823;-33
2015;1;1;4;4;824;540;808;148;19;827;223;203;178;1671;1325;6;1123;1331;128
2015;1;1;4;4;941;540;546;6;11;557;122;101;84;692;821;6;842;827;-15
2015;1;1;4;4;2079;540;537;-3;15;552;143;125;105;632;737;5;803;742;-21
2015;1;1;4;10;3268;540;556;16;9;605;105;103;79;534;724;15;725;739;14
2015;1;1;4;10;4160;540;531;-9;9;540;137;132;109;820;729;14;757;743;-14
2015;1;1;4;9;6285;540;538;-2;42;620;161;188;138;964;938;8;921;946;25
2015;1;1;4;9;5184;540;537;-3;18;555;193;180;158;1195;933;4;953;937;-16
2015;1;1;4;9;6358;541;539;-2;30;609;104;113;72;458;721;11;725;732;7
2015;1;1;4;12;161;544;534;-10;7;541;145;144;128;826;649;9;709;658;-11
2015;1;1;4;9;4833;545;543;-2;10;553;74;55;36;237;729;9;759;738;-21
2015;1;1;4;6;1119;545;542;-3;21;603;139;136;107;836;850;8;904;858;-6
2015;1;1;4;6;1237;545;541;-4;13;554;251;266;238;1874;1152;15;1156;1207;11
2015;1;1;4;6;1540;545;550;5;10;600;209;197;182;1208;802;5;814;807;-7
2015;1;1;4;2;1433;545;539;-6;12;551;65;59;41;247;632;6;650;638;-12
2015;1;1;4;2;2299;545;640;55;17;657;185;199;152;1089;929;30;850;959;69
2015;1;1;4;8;721;545;551;6;16;607;205;190;170;1197;857;4;910;901;-9
2015;1;1;4;8;917;545;543;-2;12;555;77;66;44;187;639;10;702;649;-13
2015;1;1;4;8;939;545;545;0;17;602;221;202;180;1576;1002;5;1026;1007;-19
2015;1;1;4;4;1890;545;603;18;13;616;124;104;86;731;842;5;849;847;-2
2015;1;1;4;10;4646;545;540;-5;26;606;116;122;91;628;737;5;741;742;1
2015;1;1;4;12;365;545;621;36;9;630;161;142;120;896;730;13;726;743;17
2015;1;1;4;12;117;545;538;-7;15;553;129;128;104;680;637;9;654;646;-8
2015;1;1;4;11;2926;545;;;;;190;;;987;;;755;;
2015;1;1;4;9;2599;545;658;73;11;709;150;133;112;862;801;10;715;811;56
2015;1;1;4;9;5482;545;542;-3;25;607;154;167;134;916;921;8;919;929;10
2015;1;1;4;9;6457;545;;;;;66;;;134;;;651;;
2015;1;1;4;7;218;548;540;-8;10;550;42;44;27;163;617;7;630;624;-6
2015;1;1;4;8;515;549;540;-9;17;557;96;99;78;395;715;4;725;719;-6
2015;1;1;4;6;228;550;547;-3;10;557;314;282;263;2434;1320;9;1404;1329;-35
2015;1;1;4;3;641;550;545;-5;12;557;240;249;234;1488;751;3;750;754;4
2015;1;1;4;6;495;550;550;0;11;601;145;136;118;862;859;7;915;906;-9
2015;1;1;4;6;507;550;629;39;11;640;194;198;170;1091;830;17;804;847;43
2015;1;1;4;6;1553;550;552;2;12;604;88;67;46;200;650;9;718;659;-19
2015;1;1;4;3;403;550;550;0;15;605;119;109;91;602;736;3;749;739;-10
2015;1;1;4;3;446;550;544;-6;15;559;178;179;159;1044;738;5;748;743;-5
2015;1;1;4;2;1178;550;548;-2;19;607;60;61;36;190;643;6;650;649;-1
2015;1;1;4;2;2410;550;600;10;17;617;180;172;150;1235;1047;5;1050;1052;2
2015;1;1;4;4;2453;550;550;0;26;616;59;59;28;153;644;5;649;649;0
2015;1;1;4;8;2228;550;548;-2;12;600;149;144;127;937;807;5;819;812;-7
2015;1;1;4;10;4555;550;548;-2;15;603;135;138;110;643;753;13;805;806;1
2015;1;1;4;10;5698;550;543;-7;9;552;88;76;58;326;650;9;718;659;-19
2015;1;1;4;11;3534;550;;;;;55;;;158;;;645;;
2015;1;1;4;10;4339;550;548;-2;14;602;205;220;195;1157;817;11;815;828;13
2015;1;1;4;9;6204;550;556;6;31;627;150;164;125;845;932;8;920;940;20
2015;1;1;4;9;6261;550;557;7;9;606;249;223;198;1482;724;16;759;740;-19
2015;1;1;4;9;5160;550;605;15;16;621;140;146;120;781;821;10;810;831;21
2015;1;1;4;9;6224;550;549;-1;12;601;143;150;130;898;911;8;913;919;6
2015;1;1;4;8;860;553;551;-2;10;601;166;177;162;1173;843;5;839;848;9
2015;1;1;4;10;5230;554;554;0;27;621;131;114;84;694;845;3;905;848;-17
2015;1;1;4;13;526;555;553;-2;11;604;150;150;132;967;916;7;925;923;-2
2015;1;1;4;6;1222;555;557;2;10;607;341;343;310;2218;817;23;836;840;4
2015;1;1;4;6;1507;555;549;-6;9;558;156;149;131;997;809;9;831;818;-13
2015;1;1;4;2;1094;555;555;0;24;619;235;251;216;1660;1155;11;1150;1206;16
2015;1;1;4;2;1233;555;551;-4;15;606;275;269;243;1562;909;11;930;920;-10
2015;1;1;4;8;115;555;550;-5;27;617;83;75;43;209;700;5;718;705;-13
2015;1;1;4;8;185;555;550;-5;20;610;85;73;48;264;658;5;720;703;-17
2015;1;1;4;10;2519;555;546;-9;9;555;50;50;25;102;620;16;645;636;-9
2015;1;1;4;10;3928;555;554;-1;19;613;94;83;58;403;711;6;729;717;-12
2015;1;1;4;10;3941;555;555;0;27;622;69;75;39;179;601;9;604;610;6
2015;1;1;4;10;5976;555;928;213;38;1006;80;93;48;282;1054;7;715;1101;226
2015;1;1;4;11;3161;555;;;;;75;;;280;;;710;;
2015;1;1;4;10;5677;556;538;-18;19;557;94;90;65;445;702;6;730;708;-22
2015;1;1;4;5;224;556;547;-9;16;603;124;160;92;733;835;52;900;927;27
2015;1;1;4;6;1457;557;555;-2;12;607;192;178;160;1379;1047;6;1109;1053;-16
2015;1;1;4;2;1205;559;552;-7;22;614;183;177;149;1085;843;6;902;849;-13
2015;1;1;4;9;5547;559;758;119;4;802;141;138;123;819;1105;11;920;1116;116
2015;1;1;4;6;210;600;556;-4;14;610;139;120;100;680;650;6;719;656;-23
2015;1;1;4;6;214;600;555;-5;17;612;170;172;146;956;738;9;750;747;-3
2015;1;1;4;6;247;600;751;111;31;822;148;160;118;1009;1120;11;928;1131;123
2015;1;1;4;6;256;600;600;0;13;613;156;155;133;861;726;9;736;735;-1
2015;1;1;4;6;319;600;603;3;14;617;173;152;135;937;832;3;853;835;-18
2015;1;1;4;6;374;600;612;12;19;631;97;79;57;416;728;3;737;731;-6
2015;1;1;4;3;635;600;551;-9;24;615;110;131;90;647;845;17;850;902;12
2015;1;1;4;3;646;600;558;-2;28;626;115;125;88;646;854;9;855;903;8
2015;1;1;4;3;1941;600;555;-5;11;606;139;130;114;683;800;5;819;805;-14
2015;1;1;4;6;422;600;557;-3;22;619;130;147;120;804;919;5;910;924;14
2015;1;1;4;6;544;600;622;22;19;641;195;197;175;1117;836;3;815;839;24
2015;1;1;4;6;1016;600;552;-8;11;603;142;146;114;862;857;21;922;918;-4
2015;1;1;4;13;4122;600;556;-4;17;613;105;83;63;369;716;3;745;719;-26
2015;1;1;4;13;4822;600;602;2;10;612;270;243;230;2106;1302;3;1330;1305;-25
2015;1;1;4;13;2215;600;607;7;29;636;120;135;103;759;919;3;900;922;22
2015;1;1;4;13;676;600;601;1;9;610;95;88;76;507;726;3;735;729;-6
2015;1;1;4;13;2787;600;559;-1;9;608;170;145;132;994;820;4;850;824;-26
2015;1;1;4;13;4859;600;606;6;11;617;100;81;63;327;720;7;740;727;-13
2015;1;1;4;13;597;600;554;-6;9;603;280;270;253;2139;1316;8;1340;1324;-16
2015;1;1;4;6;1158;600;557;-3;21;618;257;256;222;1846;1200;13;1217;1213;-4
2015;1;1;4;6;1163;600;555;-5;10;605;154;141;126;937;811;5;834;816;-18
2015;1;1;4;6;1188;600;613;13;11;624;244;242;224;1825;1208;7;1204;1215;11
2015;1;1;4;6;1198;600;557;-3;13;610;173;165;146;867;736;6;753;742;-11
2015;1;1;4;6;1224;600;605;5;11;616;88;72;52;337;708;9;728;717;-11
2015;1;1;4;6;1296;600;616;16;10;626;207;188;170;1211;716;8;727;724;-3
2015;1;1;4;6;1431;600;603;3;13;616;404;396;376;2611;932;7;944;939;-5
2015;1;1;4;6;1637;600;606;6;10;616;311;291;268;2402;1344;13;1411;1357;-14
2015;1;1;4;6;1735;600;607;7;13;620;250;227;201;1744;1141;13;1210;1154;-16
2015;1;1;4;3;410;600;553;-7;14;607;170;173;155;1009;742;4;750;746;-4
2015;1;1;4;3;459;600;557;-3;13;610;281;294;273;1849;843;8;841;851;10
2015;1;1;4;3;610;600;557;-3;16;613;114;120;87;651;840;17;854;857;3
2015;1;1;4;2;72;600;606;6;18;624;145;142;120;985;924;4;925;928;3
2015;1;1;4;2;196;600;604;4;18;622;164;174;148;1013;850;8;844;858;14
2015;1;1;4;2;304;600;601;1;33;634;170;181;137;989;951;11;950;1002;12
2015;1;1;4;2;175;600;;;;;215;;;1192;;;835;;
2015;1;1;4;2;281;600;559;-1;14;613;194;194;166;1121;759;14;814;813;-1
2015;1;1;4;2;233;600;643;43;21;704;163;151;124;946;908;6;843;914;31
2015;1;1;4;2;1100;600;554;-6;33;627;190;191;154;1389;1001;4;1010;1005;-5
2015;1;1;4;2;1103;600;;;;;245;;;1389;;;905;;
2015;1;1;4;2;1028;600;601;1;14;615;155;127;106;888;901;7;935;908;-27
2015;1;1;4;2;1039;600;606;6;13;619;105;102;80;460;739;9;745;748;3
2015;1;1;4;2;1055;600;;;;;185;;;985;;;805;;
2015;1;1;4;2;1180;600;;;;;210;;;1464;;;1130;;
2015;1;1;4;2;1345;600;556;-4;12;608;75;68;48;237;656;8;715;704;-11
2015;1;1;4;2;1297;600;708;68;17;725;192;174;151;1096;956;6;912;1002;50
2015;1;1;4;2;1411;600;555;-5;12;607;80;75;56;304;703;7;720;710;-10
2015;1;1;4;2;1084;600;558;-2;13;611;175;168;149;1096;840;6;855;846;-9
2015;1;1;4;2;1088;600;557;-3;16;613;160;170;128;1055;1021;26;1040;1047;7
2015;1;1;4;2;1534;600;556;-4;11;607;225;226;206;1616;1133;9;1145;1142;-3
2015;1;1;4;2;1573;600;554;-6;10;604;170;156;139;929;723;7;750;730;-20
2015;1;1;4;2;1660;600;611;11;29;640;210;230;190;1431;1150;11;1130;1201;31
2015;1;1;4;2;2204;600;555;-5;12;607;109;101;82;675;829;7;849;836;-13
2015;1;1;4;2;1515;600;557;-3;13;610;245;222;202;1744;1132;7;1205;1139;-26
2015;1;1;4;2;2307;600;554;-6;30;624;120;131;91;583;755;10;800;805;5
2015;1;1;4;2;2363;600;610;10;42;652;65;85;39;175;731;4;705;735;30
2015;1;1;4;1;81;600;557;-3;25;622;234;224;195;1448;837;4;854;841;-13
2015;1;1;4;1;162;600;544;-16;26;610;73;80;44;261;654;10;713;704;-9
2015;1;1;4;1;200;600;550;-10;21;611;123;124;99;697;750;4;803;754;-9
2015;1;1;4;1;342;600;555;-5;11;606;119;108;92;671;738;5;759;743;-16
2015;1;1;4;1;406;600;555;-5;8;603;102;94;82;569;725;4;742;729;-13
2015;1;1;4;1;477;600;555;-5;21;616;170;166;141;954;837;4;850;841;-9
2015;1;1;4;1;631;600;555;-5;10;605;175;168;151;1107;736;7;755;743;-12
2015;1;1;4;1;683;600;549;-11;16;605;190;167;137;1024;722;14;810;736;-34
2015;1;1;4;1;699;600;558;-2;23;621;75;80;42;224;703;15;715;718;3
2015;1;1;4;8;130;600;557;-3;10;607;161;162;141;1074;828;11;841;839;-2
2015;1;1;4;8;154;600;559;-1;11;610;154;164;141;1028;831;12;834;843;9
2015;1;1;4;8;353;600;554;-6;16;610;178;162;142;1028;832;4;858;836;-22
2015;1;1;4;8;226;600;553;-7;10;603;151;153;130;1005;813;13;831;826;-5
2015;1;1;4;8;272;600;559;-1;16;615;161;164;143;1076;838;5;841;843;2
2015;1;1;4;8;447;600;552;-8;15;607;80;78;60;353;707;3;720;710;-10
2015;1;1;4;8;371;600;600;0;22;622;183;177;150;1076;852;5;903;857;-6
2015;1;1;4;8;583;600;557;-3;16;613;171;155;135;944;828;4;851;832;-19
2015;1;1;4;8;605;600;556;-4;12;608;180;163;145;1065;833;6;900;839;-21
2015;1;1;4;8;525;600;554;-6;21;615;181;186;157;1005;852;8;901;900;-1
2015;1;1;4;8;746;600;557;-3;9;606;241;239;225;1617;851;5;901;856;-5
2015;1;1;4;8;776;600;550;-10;11;601;168;160;140;1182;921;9;948;930;-18
2015;1;1;4;8;794;600;559;-1;16;615;203;194;175;1521;1010;3;1023;1013;-10
2015;1;1;4;8;838;600;601;1;11;612;232;246;225;1576;857;10;852;907;15
2015;1;1;4;8;892;600;554;-6;12;606;173;167;151;1185;837;4;853;841;-12
2015;1;1;4;8;1678;600;600;0;14;614;128;136;109;828;803;13;808;816;8
2015;1;1;4;8;1790;600;557;-3;19;616;84;88;62;399;718;7;724;725;1
2015;1;1;4;4;421;600;605;5;18;623;163;139;117;760;820;4;843;824;-19
2015;1;1;4;4;731;600;604;4;10;614;118;113;97;502;751;6;758;757;-1
2015;1;1;4;4;743;600;600;0;31;631;100;118;68;422;839;19;840;858;18
2015;1;1;4;4;750;600;556;-4;20;616;80;76;44;187;700;12;720;712;-8
2015;1;1;4;4;809;600;600;0;23;623;210;212;186;1124;829;3;830;832;2
2015;1;1;4;4;904;600;601;1;11;612;159;126;111;762;803;4;839;807;-32
2015;1;1;4;4;977;600;602;2;19;621;127;104;80;606;841;5;907;846;-21
2015;1;1;4;4;1088;600;557;-3;11;608;317;280;266;2519;1334;3;1417;1337;-40
2015;1;1;4;4;1098;600;601;1;9;610;143;110;97;765;847;4;923;851;-32
2015;1;1;4;4;1205;600;804;124;16;820;207;190;169;1587;1309;5;1127;1314;107
2015;1;1;4;4;1234;600;554;-6;8;602;69;55;41;271;743;6;809;749;-20
2015;1;1;4;4;1235;600;554;-6;15;609;304;300;280;1931;849;5;904;854;-10
2015;1;1;4;2;1462;600;;;;;180;;;1188;;;1100;;
2015;1;1;4;2;913;600;605;5;12;617;157;151;130;919;827;9;837;836;-1
2015;1;1;4;4;1961;600;554;-6;12;606;113;91;75;481;721;4;753;725;-28
2015;1;1;4;4;2154;600;559;-1;12;611;250;231;213;1947;1244;6;1310;1250;-20
2015;1;1;4;4;2282;600;558;-2;21;619;191;171;144;946;843;6;911;849;-22
2015;1;1;4;4;2417;600;559;-1;19;618;233;212;187;1749;1225;6;1253;1231;-22
2015;1;1;4;4;1540;600;550;-10;41;631;124;131;85;761;856;5;904;901;-3
2015;1;1;4;4;1574;600;550;-10;12;602;209;212;196;1310;818;4;829;822;-7
2015;1;1;4;4;1700;600;617;17;10;627;82;59;45;332;812;4;822;816;-6
2015;1;1;4;4;1867;600;555;-5;15;610;118;99;80;674;830;4;858;834;-24
2015;1;1;4;4;1937;600;551;-9;18;609;102;92;69;409;718;5;742;723;-19
2015;1;1;4;8;159;600;554;-6;18;612;99;84;61;280;713;5;739;718;-21
2015;1;1;4;8;198;600;557;-3;15;612;145;150;129;950;821;6;825;827;2
2015;1;1;4;8;1502;600;610;10;13;623;163;170;146;1069;849;11;843;900;17
2015;1;1;4;8;1504;600;627;27;17;644;242;274;248;1598;952;9;902;1001;59
2015;1;1;4;8;1600;600;552;-8;17;609;107;92;72;399;721;3;747;724;-23
2015;1;1;4;10;2533;600;559;-1;33;632;155;166;128;772;740;5;735;745;10
2015;1;1;4;10;4213;600;555;-5;16;611;173;174;153;843;744;5;753;749;-4
2015;1;1;4;10;4431;600;726;86;18;744;126;125;98;708;922;9;806;931;85
2015;1;1;4;10;4411;600;552;-8;17;609;158;146;120;946;909;9;938;918;-20
2015;1;1;4;10;4756;600;559;-1;26;625;123;142;109;599;714;7;703;721;18
2015;1;1;4;10;4768;600;553;-7;22;615;85;90;58;419;713;10;725;723;-2
2015;1;1;4;10;4740;600;556;-4;12;608;63;57;34;173;642;11;703;653;-10
2015;1;1;4;10;5103;600;552;-8;12;604;113;101;84;425;728;5;753;733;-20
2015;1;1;4;10;5275;600;559;-1;12;611;79;70;51;341;802;7;819;809;-10
2015;1;1;4;10;5491;600;552;-8;23;615;92;97;69;399;724;5;732;729;-3
2015;1;1;4;10;5978;600;603;3;37;640;123;120;78;557;758;5;803;803;0
2015;1;1;4;10;5917;600;556;-4;13;609;134;119;99;677;748;7;814;755;-19
2015;1;1;4;10;6133;600;616;16;11;627;92;95;79;398;646;5;632;651;19
2015;1;1;4;10;6082;600;600;0;15;615;63;63;37;160;652;11;703;703;0
2015;1;1;4;10;6122;600;556;-4;11;607;90;83;65;323;612;7;630;619;-11
2015;1;1;4;10;6143;600;550;-10;25;615;76;83;47;212;702;11;716;713;-3
2015;1;1;4;12;865;600;;;;;120;;;679;;;800;;
2015;1;1;4;12;1256;600;;;;;180;;;1197;;;1000;;
2015;1;1;4;12;1104;600;556;-4;10;606;175;157;142;1062;828;5;855;833;-22
2015;1;1;4;12;1057;600;552;-8;16;608;260;262;237;1635;805;9;820;814;-6
2015;1;1;4;12;144;600;605;5;10;615;153;148;131;1024;926;7;933;933;0
2015;1;1;4;12;1056;600;552;-8;15;607;225;234;209;1635;1136;10;1145;1146;1
2015;1;1;4;12;901;600;557;-3;10;607;139;131;109;701;756;12;819;808;-11
2015;1;1;4;12;902;600;619;19;11;630;110;115;98;701;808;6;750;814;24
2015;1;1;4;7;202;600;553;-7;12;605;50;53;36;216;641;5;650;646;-4
2015;1;1;4;11;2898;600;;;;;70;;;309;;;710;;
2015;1;1;4;11;2957;600;;;;;80;;;312;;;720;;
2015;1;1;4;11;2962;600;;;;;60;;;164;;;700;;
2015;1;1;4;11;3014;600;;;;;70;;;247;;;710;;
2015;1;1;4;11;3015;600;;;;;78;;;383;;;718;;
2015;1;1;4;11;3079;600;;;;;80;;;327;;;720;;
2015;1;1;4;11;3189;600;;;;;140;;;685;;;820;;
2015;1;1;4;11;3302;600;;;;;145;;;691;;;825;;
2015;1;1;4;11;3338;600;;;;;170;;;862;;;750;;
2015;1;1;4;11;3350;600;555;-5;32;627;95;103;64;427;731;7;735;738;3
2015;1;1;4;11;3355;600;556;-4;15;611;153;150;123;948;814;12;833;826;-7
2015;1;1;4;11;3251;600;;;;;100;;;431;;;740;;
